t,u,y
0,4.6460895827294335,0.08762527227557732
0.1001001001001001,2.0324084523502375,-0.21739157237753975
0.2002002002002002,-0.9651799069176863,-0.11244415568956131
0.3003003003003003,-3.695268002588551,-0.3247624269033501
0.4004004004004004,-5.662174717249883,2.9995910022121226
0.5005005005005005,-6.607749318052569,1.899748813667948
0.6006006006006006,-6.511337332962677,-0.8835418054217381
0.7007007007007007,-5.526771113711929,-0.35151817013959297
0.8008008008008008,-3.8932432228429894,-1.6821598661214394
0.9009009009009009,-1.8585414314393969,-0.5790512188628267
1.001001001001001,0.3603621298344635,-1.6634784038224932
1.1011011011011012,2.575980514673146,-2.5415432238546694
1.2012012012012012,4.604941391060871,-1.1785862002335479
1.3013013013013013,6.245507069351099,-0.8795338053481953
1.4014014014014013,7.281500708213101,-1.5747722710286256
1.5015015015015014,7.521202134982888,-0.7508346017333098
1.6016016016016017,6.860237362770718,-2.0321332358429722
1.7017017017017018,5.34218480436412,-1.6593697930582578
1.8018018018018018,3.1865884241386753,-1.1180177321364617
1.901901901901902,0.7636286032887276,0.21256917063260183
2.002002002002002,-1.4855237439307099,-1.089660796886509
2.1021021021021022,-3.161437363136673,0.28730122967228044
2.2022022022022023,-4.0154636920869216,0.6940085861653221
2.3023023023023024,-4.016214143193548,1.132004251557912
2.4024024024024024,-3.347563134324439,2.287301314985379
2.5025025025025025,-2.336035412721426,1.0045704318236799
2.6026026026026026,-1.331304261786261,2.1940432368402476
2.7027027027027026,-0.5816533549939559,-1.413598546845578
2.8028028028028027,-0.1494331055264606,1.2177094861685693
2.9029029029029028,0.10195375114017957,0.4786444432584581
3.003003003003003,0.44362306743740487,0.1490349824246524
3.103103103103103,1.1619269077128611,-0.9212716256556104
3.2032032032032034,2.4277601298210496,-0.08821293425663895
3.3033033033033035,4.203202096079059,2.7527890368505994
3.4034034034034035,6.221738107757344,-1.8242862458312914
3.5035035035035036,8.052298087563475,0.3213872799342658
3.6036036036036037,9.227173538341855,1.7269868393748196
3.7037037037037037,9.390490965477689,1.5809008122800567
3.803803803803804,8.415886983325546,2.72628000670484
3.903903903903904,6.452337763493427,2.191930379105907
4.004004004004004,3.882059595397263,0.9976855591686762
4.104104104104104,1.2050129231178723,2.724971290093646
4.2042042042042045,-1.1102083682952746,3.0149796541540312
4.3043043043043046,-2.7584327535197306,2.3710934756915276
